站點名稱,經度,緯度,圖片URL,站點位置
"新竹火車站(站前廣場)","120.971459","24.801815","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/897db4d1-0a4b-4985-a7d4-70545fd3fef5.jpg","中華路二段445號(火車站前廣場)"
"東門圓環","120.970556","24.803866","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/82c3bb3e-cc01-4a97-ae52-05355baa803d.jpg","勝利路2號(對面圓環人行道)"
"新竹市政府","120.96926","24.806138","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/e53ff756-007d-46b5-aad4-1e73c5824642.jpg","中央路106號(對面人行道)"
"明志書院立體停車場","120.96576","24.80167","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/fa912e46-de78-4c2a-b1a6-1c5e5f38ec81.jpg","西大路317號(停車場前人行道)"
"辛志平校長故居","120.973662","24.804317","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/c8a43417-1902-4999-8cb1-1ca21833e4ea.jpg","東門街32號(汽車停車場)"
"中正北大路口","120.967098","24.808979","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/e2fd1d46-5aeb-4f9f-8119-94d62781a8f2.jpg","中正路146號(機車停車場)"
"延平停車場","120.956616","24.803791","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/555a2333-00c9-49fe-878d-29171a116b63.jpg","延平路一段159巷22號(對面機車停車格)"
"建國公園","120.966675","24.803382","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/614802f8-7d82-410b-b40f-a1c43b5fb721.jpg","西門街1號(對面汽車停車格)"
"新竹公園(公園路)","120.978717","24.802579","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/1211f0de-a7bb-4dd4-8fd6-e902ff11a86f.jpg","公園路300號(左側人行道)"
"遠東巨城購物中心","120.974258","24.809326","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/9df528a1-cc63-4853-8dac-8e92b3388aa3.jpg","民權路171號(對面人行道)"
"三民公園","120.979624","24.811226","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/9eeae13c-0866-46fe-a8a7-6e7ce3aff7fa.jpg","中央路364-1號(網球場前人行道)"
"新竹轉運站","120.973191","24.800896","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/403192d1-52bc-4f96-a3b1-627c86d3b3c5.jpg","東南街1巷6號(轉運站對面人行廣場)"
"新竹馬偕紀念醫院","120.991278","24.800074","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/83e3058f-3247-4c0e-8e6e-942087f56b5d.jpg","光復路二段690號(水源街對面公園人行道)"
"新源建功一路口","120.9932","24.802771","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/3ded9f00-e822-45fa-b557-d9d8fe575861.jpg","新源街138號(對面人行道)"
"清華大學(北校門)","120.996686","24.796842","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/0e16b81f-9437-4558-b400-fdb71c3f46ac.jpg","光復路二段101號(面校門右側人行道)"
"綠光公園","120.985033","24.812458","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/88d19f64-299d-4ab1-9ceb-8b6b6839f8db.jpg","鐵道路一段28巷79號(對面公園綠帶)"
"新竹教育大學","120.964533","24.794294","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/cacce219-e7d7-4809-bd92-8590f762ef2a.jpg","南大路560號(對面人行道)"
"竹蓮寺","120.97042","24.798283","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/0e15f2b5-f650-44b8-b94d-44715a6749cc.jpg","竹蓮街72號(對面人行道)"
"北區區公所","120.970561","24.816444","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/dcafce0a-fc48-4a5b-b508-9dfa632f4c56.jpg","國華街69號(區公所前廣場)"
"經國民生路口","120.973992","24.813884","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/3e357584-34a1-4bc1-8679-46cc26ec81ed.jpg","民生路309號(旁公園綠帶)"
"湳雅公園","120.967956","24.820368","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/ba005a63-3b75-4d1c-ab43-e8cdf35a526d.jpg","武陵路157號(對面人行道)"
"天公壇","120.957256","24.799426","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/34e6de56-6466-408e-8ae3-50c8075fddf1.jpg","中山路與中山路452巷口(西雅公園)"
"光復關新路口","121.01833","24.784875","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/3c8316c2-e3f4-4262-8e3e-eae5d24dfe3a.jpg","關新路21號(大樓前人行道)"
"金山街(集福宮)","121.021936","24.777737","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/f8e040a2-1a29-46fd-8b85-92dc238a1671.jpg","金山街63號(對面公園綠地)"
"香山國小","120.944523","24.796454","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/9d6bff4a-cb98-467a-bc9f-7d51d2710ed5.jpg","牛埔東路260號(校門右側人行道)"
"北新竹火車站(新竹高工)","120.983512","24.809629","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/68188868-d62c-4570-990c-2a3ec6391b1b.jpg","中華路二段2-1號前人行道"
"新莊火車站","121.021833","24.788113","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/bae9c2a6-a641-4b7a-becd-077de873e42d.jpg","關東路310號(車站出口右側人行道)"
"千甲火車站","121.002064","24.807119","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/72393ae2-2e2d-460e-9a6d-4dca22bd2746.jpg","千甲路138-5號(民宅對面高架橋下)"
"三姓橋火車站","120.92856","24.786994","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/5695960d-8bc2-430a-ad42-f662f96cb2d5.jpg","元培街32巷30號(車站出口前廣場)"
"香山火車站","120.913819","24.763156","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/476f5c6b-7f27-4c83-b73b-4f819c8df92a.jpg","中華路五段347巷2弄27號(火車站前廣場)"
"陽明交通大學(大學路)","121.00026","24.7894","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/b058f103-d9bd-4884-aab8-4d39f69a1988.jpg","大學路200號(對面人行道)"
"元培醫事科技大學","120.940465","24.778031","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/77e7f317-04c9-4634-8d16-a18ef5c95d25.jpg","元培街306號(校門對面機車停車場)"
"樹林頭公園","120.959777","24.821613","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/79ba1065-50b5-4033-b0a3-7fb20407faf4.jpg","東大路二段537號(對面汽車停車場)"
"清華大學(小吃部)","120.99347","24.79288","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/4dd1d51a-a32e-4af2-8a30-d0a37168e7aa.jpg","光復路二段101號(小吃部左側廣場)"
"陽明交通大學(逐風廣場)","120.99964","24.7849","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/73b94e0d-32a2-49e2-9e75-188fed4d694f.jpg","大學路1001號(女二宿前廣場)"
"赤土崎公園","120.9942","24.79974","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/615c754c-1189-44d4-81ee-59f2b13dd294.jpg","光復路二段153號(對面人行道)"
"國賓大飯店(新光三越)","120.978","24.80613","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/1b78bbb2-3009-4e60-9741-ecdd2a821920.jpg","中華路二段188號(前人行道)"
"新莊公園","121.01736","24.78743","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/3d2ee5f2-0009-417a-bf70-3127ab07f57f.jpg","新莊街212號旁(公園人行道)"
"東大武陵路口(國軍新竹醫院)","120.96398","24.81713","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/f9ef6b49-924d-42e9-8a1c-fdac1550a377.jpg","東大路二段261號(旁人行道)"
"新竹和平公園","120.95243","24.79912","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/99a427af-8d1b-46f7-a235-6093d30522dd.jpg","經國路三段78巷18號(對面公園人行道)"
"青草湖(煙波大飯店)","120.97008","24.77386","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/40852f0a-62fe-4d32-a381-f8e542861930.jpg","明湖路773號對面公園人行道"
"十八尖山(新竹高商)","120.987619","24.797087","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/b23371c7-232c-4e51-b169-bd168e581bf5.jpg","博愛街5巷2號對面停車場"
"虎林棒球場","120.944251","24.805122","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/70986880-b65b-424e-a9e0-c82f1205c518.jpg","延平路一段541號對面人行道"
"新竹棒球場","120.960621","24.807606","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/f13225c0-b5b1-48e4-9bd6-127574f179f0.jpg","民富街141號對面人行道"
"新竹市文化局","120.96873","24.811967","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/1f737429-b281-4f67-a9f7-3586d2fc3918.jpg","東大路二段15巷1號前人行道"
"陽明交通大學(研三舍)","120.996969","24.784193","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/e0b7c6a4-5c84-4f7e-9bcc-940eaf84be9c.jpg","交通大學綜合一館(南側出入口)"
"清華大學(台達館)","120.991966","24.795358","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/09420a65-ec99-4645-8539-e2ee556630f0.jpg","清華大學台達館(南側)"
"大庄國小","120.927926","24.789427","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/9a73cf1c-bb32-41e2-ba26-04af3faaf598.jpg","大庄路48號"
"竹科管理局","121.00607","24.78142","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/5ac21cf0-842a-4072-a53c-17e706c036ac.jpg","新安路2號前人行道"
"科技生活館","121.0054","24.78004","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/efc10651-2ee9-408a-9da0-ae3b4d892ac6.jpg","工業東二路1號旁人行道"
"靜心湖","121.01078","24.77874","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/df089adc-ba1d-42e0-8001-d2cb69ca963f.jpg","竹村七路7號前人行道"
"金山寺","121.01466","24.77739","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/bb575afc-50b0-41f9-af97-9d07f08f3cbb.jpg","湖濱二路201號旁(人行道)"
"矽導研發中心停車場","121.01881","24.77279","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/352e3fd6-f107-4840-adc0-2d35f28a19bb.jpg","力行二路2號前人行道"
"篤行會館","121.02517","24.77092","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/a9b98227-ed8a-4049-a9fa-cd418e729fb4.jpg","篤行路6號前人行道"
"園二園三廣場","121.01019","24.77282","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/be1b517c-bee0-4ee6-972f-80058dd35fdb.jpg","園區三路1號(對面人行道)"
"研發四路公園","120.99843","24.77884","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/8bcf015c-79cf-44e5-9408-b0840f56de6e.jpg","園區二路15號(斜對面人行道)"
"交通大學-新安路","120.9942","24.78386","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/f2b51379-60dc-4ce1-8ce7-212f081a20d1.jpg","新安路/園區三路口(東南側)"
"研發二路停車場","121.00214","24.77778","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/c03d46ca-0484-4b01-ae11-54948f4e48af.jpg","研發二路/創新三路口(南側)"
"力行一路力行六路口","121.0155","24.77395","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/39765a02-df98-46c5-ab89-4e852700429a.jpg","力行一路/力行六路口(北側)"
"聯園","121.01915","24.76807","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/bbfb7fa7-408d-4a1a-b5a9-3d68c9e79234.jpg","力行三路/力行二路口(北側)"
"園區三路研新一路口","120.99512","24.77678","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/81afc8e9-bc42-4c47-b4ac-07c012f335ed.jpg","研新一路/園區三路口(西北側)"
"同業公會","121.00198","24.78228","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/45ec6034-3c50-4302-9a89-3b420d9d7b4f.jpg","展業一路/新安路(北側)"
"興業二路停車場","120.98996","24.77872","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/9aef3699-cd8c-4a3c-aed3-e6a82a716cbd.jpg","興業二路/研新三路口(西側)"